"Column Name","Description"
"PassengerId","Unique identifier for each passenger"
"Survived","Survival status (0 = Did not survive, 1 = Survived)"
"Pclass","Ticket class (1 = 1st, 2 = 2nd, 3 = 3rd)"
"Name","Full name of passenger"
"Sex","Gender of passenger (male, female)"
"Age","Age of passenger in years"
"SibSp","Number of siblings/spouses aboard"
"Parch","Number of parents/children aboard"
"Ticket","Ticket number"
"Fare","Price paid for the ticket (in British pounds)"
"Cabin","Cabin number/section"
"Embarked","Port where passenger boarded (C = Cherbourg, Q = Queenstown, S = Southampton)"